protein	location	source(s)
ARID1B	Nucleoplasm	HPA;GO
FAM72A	Plasma membrane	HPA
KRI1	Nucleoli	HPA
IL17RA	Plasma membrane	GO
NRIP1	Nucleoli	HPA
SNRNP40	Nucleoplasm	HPA;GO
COG3	Nucleoplasm	HPA
EFNA1	Plasma membrane	GO
ZNF747	Cytosol	HPA
NRAS	Plasma membrane	HPA;GO
ERAP2	Golgi apparatus	HPA
TRAF2	Cytosol	HPA;GO
LRAT	Plasma membrane	HPA
EBLN2	Nucleoplasm	HPA
ESS2	Nucleoplasm	HPA
KRT86	Cytosol	HPA;GO
MCCC1	Mitochondria	HPA;GO
ARMCX5	Cytosol	HPA
RGS2	Cytosol	HPA
PALLD	Actin filaments	HPA;GO
ALDH7A1	Cytosol	HPA;GO
USP48	Cytosol	HPA
VMP1	Endoplasmic reticulum	HPA;GO
EFCAB11	Plasma membrane	HPA
CCT8	Microtubules	GO
RPL37A	Plasma membrane	GO
DCP2	Cytosol	HPA;GO
TM2D2	Plasma membrane	HPA
ACOT8	Mitochondria	HPA
POLR3F	Cytosol	GO
SPHK2	Cytosol	GO
METTL4	Cytosol	GO
NECAP2	Endoplasmic reticulum	HPA
ZNF266	Nucleoplasm	HPA
AIP	Cytosol	HPA;GO
ELF4	Nucleoplasm	HPA;GO
PEMT	Mitochondria	HPA
SOCS2	Cytosol	GO
CDC45	Cytosol	HPA
RRP8	Nucleoli	HPA;GO
UBXN11	Plasma membrane	HPA
ADAR	Cytosol	GO
DAB2	Nucleoli	HPA
HMGN1	Nucleoplasm	HPA
GOLM2	Golgi apparatus	HPA
TAF1	Nucleoli	GO
CEP295	Centrosome	GO
MS4A4A	Plasma membrane	GO
ENSG00000285526	Nucleoplasm	HPA
EFNB2	Plasma membrane	GO
CCDC24	Plasma membrane	HPA
TOR3A	Endoplasmic reticulum	GO
ATP2A2	Endoplasmic reticulum	GO
TSPAN16	Plasma membrane	HPA
SULT1C4	Cytosol	HPA;GO
BLTP2	Nucleoplasm	HPA
EPGN	Nucleoplasm	HPA
SYNE2	Intermediate filaments	HPA
NRDE2	Mitochondria	HPA
CRAMP1	Nucleoli	HPA
USP19	Endoplasmic reticulum	GO
PAX2	Microtubules	GO
LEMD2	Nuclear membrane	HPA;GO
TTC17	Plasma membrane	HPA;GO
RPL10L	Endoplasmic reticulum	HPA
KRT85	Cytosol	GO
PAICS	Cytosol	HPA;GO
PPP2R1B	Cytosol	HPA
LETMD1	Mitochondria	HPA
EEF1D	Nucleoplasm	HPA
PTEN	Nucleoplasm	HPA;GO
ATG5	Primary cilium	HPA
TSHZ2	Nucleoplasm	HPA
UGCG	Golgi apparatus	GO
ENSG00000288684	Cytosol	HPA
SMN1	Cytosol	HPA;GO
NRG2	Nucleoli	HPA
IRAG2	Endoplasmic reticulum	HPA
RAB3GAP2	Cytosol	HPA;GO
IDO1	Microtubules	HPA
SIKE1	Actin filaments	HPA
RPL36AL	Endoplasmic reticulum	HPA
SLC22A13	Plasma membrane	GO
TVP23B	Golgi apparatus	HPA
POP5	Nucleoplasm	HPA;GO
MAP3K9	Nucleoplasm	HPA
CUL1	Cytosol	HPA;GO
WDR48	Nucleoplasm	GO
NHLRC1	Cytosol	GO
MAPKAP1	Plasma membrane	GO
ALKBH3	Mitochondria	HPA
EML3	Microtubules	GO
MAP2K1	Primary cilium	HPA
EFNA2	Cytosol	HPA
RFX8	Nucleoplasm	HPA
PLOD3	Endoplasmic reticulum	GO
IPO5	Golgi apparatus	HPA
NOTCH4	Nucleoplasm	GO
DHX35	Nucleoplasm	HPA;GO
PDXK	Nucleoplasm	HPA
ESYT3	Endoplasmic reticulum	GO
PMF1	Nucleoplasm	HPA;GO
UBE2B	Plasma membrane	HPA
PIGG	Endoplasmic reticulum	GO
GTDC1	Cytosol	HPA
GNB1L	Cytosol	HPA
POM121	Nuclear membrane	HPA
NQO2	Cytosol	HPA;GO
RDH8	Microtubules	HPA
CLUAP1	Nucleoplasm	HPA
TSPAN1	Nucleoplasm	HPA
WDR13	Centrosome	HPA
CLMP	Microtubules	GO
AGPS	Mitochondria	GO
DYRK3	Cytosol	GO
PDCD2	Nucleoplasm	HPA
TRAPPC5	Cytosol	GO
DBX2	Nuclear membrane	HPA
SPECC1	Nucleoplasm	HPA
ANXA1	Actin filaments	GO
C20orf27	Cytosol	HPA
MTHFR	Primary cilium	HPA
UBN2	Nucleoplasm	HPA
KAT7	Nucleoplasm	HPA;GO
ZDHHC19	Golgi apparatus	GO
ENKD1	Microtubules	GO
PLN	Mitochondria	GO
QDPR	Mitochondria	HPA
CCDC18	Cytosol	HPA
SLC30A2	Plasma membrane	GO
MAPDA	Cytosol	GO
PRKN	Cytosol	HPA;GO
USP45	Nucleoplasm	HPA;GO
FADS1	Endoplasmic reticulum	GO
ABCC8	Cytosol	HPA
APPL1	Actin filaments	HPA
IFT88	Primary cilium	HPA;GO
SRMS	Actin filaments	HPA
GBP1	Golgi apparatus	GO
CEP20	Centrosome	HPA;GO
EFCAB14	Cytosol	HPA
CLDN16	Plasma membrane	GO
CFAP276	Primary cilium	GO
ZNF554	Nucleoplasm	HPA
C1GALT1	Golgi apparatus	GO
LENG8	Nucleoplasm	HPA
TBC1D8	Nucleoplasm	HPA
MNAT1	Nucleoplasm	HPA;GO
MYH11	Plasma membrane	HPA
UQCRC2	Mitochondria	HPA;GO
LIMD1	Plasma membrane	GO
GNB1	Golgi apparatus	HPA
TOR1A	Nuclear membrane	HPA
NCAPH	Nucleoplasm	HPA;GO
PTPN1	Endoplasmic reticulum	HPA;GO
TRPM6	Plasma membrane	GO
ADH7	Cytosol	HPA;GO
SLC9A7	Golgi apparatus	GO
CC2D1B	Nucleoplasm	HPA
ELP3	Nucleoli	GO
DHX9	Cytosol	GO
CCNF	Cytosol	GO
CDH15	Golgi apparatus	HPA
MAP1S	Microtubules	GO
PRR16	Nucleoplasm	HPA
ZNF548	Cytosol	HPA
PLCD1	Microtubules	HPA
NDRG4	Cytosol	HPA
SCO1	Mitochondria	GO
HOXB6	Golgi apparatus	HPA
SEPTIN11	Cytosol	HPA
YWHAB	Plasma membrane	GO
TUBGCP6	Centrosome	GO
CERKL	Golgi apparatus	GO
ITGA1	Plasma membrane	GO
CDK4	Cytosol	HPA;GO
PLPP2	Endoplasmic reticulum	GO
HYAL2	Cytosol	GO
GCNA	Nucleoplasm	HPA;GO
ETS2	Plasma membrane	HPA
FAM193A	Plasma membrane	HPA
ERI1	Microtubules	HPA
RPL23A	Cytosol	HPA;GO
FNTB	Microtubules	GO
CDCA8	Nucleoplasm	GO
MIB1	Microtubules	HPA
RPS25	Nucleoplasm	GO
PEX12	Cytosol	GO
F10	Endoplasmic reticulum	GO
ACTN4	Plasma membrane	GO
PPP1CC	Mitochondria	GO
ZBED2	Mitochondria	HPA
SPPL2A	Endoplasmic reticulum	GO
UBXN1	Endoplasmic reticulum	GO
LMLN	Cytosol	HPA
DAND5	Mitochondria	HPA
BPNT2	Golgi apparatus	HPA;GO
MTCL1	Microtubules	GO
SCLT1	Centrosome	GO
KLHL41	Endoplasmic reticulum	GO
TRMT1L	Nucleoli	HPA
MLNR	Plasma membrane	HPA;GO
POC5	Centrosome	GO
NMNAT2	Golgi apparatus	GO
GAP43	Plasma membrane	HPA;GO
CAV1	Golgi apparatus	HPA;GO
PCBP2	Plasma membrane	GO
BST2	Golgi apparatus	HPA
DOK2	Plasma membrane	HPA
GPRASP2	Cytosol	HPA
NEK8	Primary cilium	HPA;GO
CPS1	Nucleoli	HPA
GEMIN4	Cytosol	HPA;GO
FAM131C	Intermediate filaments	HPA
PTPN2	Cytosol	HPA;GO
SOX17	Nucleoplasm	HPA;GO
USP44	Nucleoli	HPA
STX8	Golgi apparatus	GO
ARHGAP15	Cytosol	GO
GID8	Plasma membrane	HPA
CATSPER1	Plasma membrane	GO
SLC26A3	Plasma membrane	GO
IFRD1	Cytosol	HPA
VDAC1	Plasma membrane	GO
KCNK5	Nucleoplasm	HPA
FCHO2	Cytosol	HPA;GO
NDUFB1	Mitochondria	HPA;GO
CBY1	Golgi apparatus	GO
C12orf4	Nucleoplasm	HPA
ZFAND2B	Cytosol	HPA
WNT1	Endoplasmic reticulum	GO
CDCA2	Nucleoplasm	HPA
ABCC3	Plasma membrane	HPA;GO
MUL1	Cytosol	HPA
CLCNKB	Plasma membrane	GO
PCDHB6	Nucleoplasm	HPA
SLC35E2B	Nucleoplasm	HPA
SSX2IP	Centrosome	HPA;GO
INPP5B	Plasma membrane	GO
XRCC5	Nucleoplasm	HPA;GO
THNSL1	Nucleoplasm	HPA
RPS29	Actin filaments	GO
TMEM187	Nucleoli	HPA
ADRA1A	Cytosol	HPA
FABP4	Nucleoplasm	HPA
ZFP1	Nucleoplasm	HPA
GK	Mitochondria	GO
IGSF3	Nucleoplasm	HPA
HNRNPC	Cytosol	GO
KRTAP4-4	Cytosol	GO
KCNQ5	Plasma membrane	GO
CLIC4	Actin filaments	GO
TAAR5	Plasma membrane	GO
HSPB2	Nucleoplasm	HPA
HS3ST1	Golgi apparatus	GO
CLDN7	Plasma membrane	HPA;GO
BID	Mitochondria	GO
HARS2	Mitochondria	HPA;GO
S100A7	Cytosol	HPA;GO
KRT6C	Cytosol	GO
ZNF582	Cytosol	HPA
FBXO11	Nucleoli	HPA
DDR2	Plasma membrane	HPA;GO
ST6GALNAC2	Golgi apparatus	GO
TSPY1	Cytosol	HPA
KLHL35	Nucleoplasm	HPA
PHKA1	Cytosol	HPA;GO
CAMK2N1	Primary cilium	HPA
GAS2L3	Actin filaments	GO
LAD1	Actin filaments	HPA
PLAU	Golgi apparatus	HPA
CPVL	Endoplasmic reticulum	HPA
ASPH	Plasma membrane	GO
NUF2	Cytosol	GO
TUBA1A	Microtubules	HPA;GO
SLC6A6	Plasma membrane	HPA;GO
IGHV3-7	Plasma membrane	GO
MSRB3	Mitochondria	GO
BRD4	Nucleoplasm	HPA;GO
SMAP1	Golgi apparatus	HPA
STRAP	Cytosol	HPA;GO
ZNF710	Nucleoplasm	HPA
DISP2	Nucleoplasm	HPA
ZNF410	Nucleoplasm	HPA
ACSL6	Endoplasmic reticulum	GO
TACC2	Nucleoplasm	HPA
NPY	Golgi apparatus	HPA
TSR2	Nucleoli	HPA
MR1	Endoplasmic reticulum	GO
RPS3A	Actin filaments	GO
REC8	Nucleoplasm	HPA
RPL7	Endoplasmic reticulum	HPA
DVL3	Centrosome	HPA
IRGM	Golgi apparatus	GO
BYSL	Nucleoli	HPA;GO
TRAPPC6B	Cytosol	GO
CHMP2A	Cytosol	HPA;GO
RPS15	Nucleoplasm	GO
CENPU	Centrosome	HPA
ITCH	Mitochondria	GO
DLAT	Mitochondria	HPA;GO
GPAA1	Cytosol	HPA
API5	Nucleoplasm	HPA
DSG1	Cytosol	GO
SH2B3	Cytosol	GO
EML2	Microtubules	GO
MYOC	Golgi apparatus	GO
USE1	Endoplasmic reticulum	GO
ARL17B	Nucleoplasm	HPA
CAMK2N2	Nucleoplasm	HPA
KIF19	Actin filaments	HPA
MED23	Nucleoplasm	HPA;GO
IL15	Nucleoplasm	HPA
MYLK	Actin filaments	HPA;GO
THEM6	Nucleoplasm	HPA
ANKRD35	Primary cilium	HPA
GLRX2	Mitochondria	GO
GEMIN5	Nucleoplasm	HPA;GO
NUDT19	Cytosol	HPA;GO
SOBP	Nucleoplasm	HPA
POP7	Nucleoplasm	GO
SLX9	Nucleoli	HPA
AFMID	Mitochondria	HPA
HSPB6	Mitochondria	HPA
NCKAP1L	Cytosol	HPA;GO
BZW2	Plasma membrane	HPA
NOL9	Nucleoplasm	GO
PPIL1	Nucleoli	HPA
PDE4B	Golgi apparatus	HPA
LUM	Golgi apparatus	GO
DLG3	Nucleoplasm	HPA
RFC1	Nucleoplasm	HPA;GO
SYVN1	Nucleoplasm	HPA
CD163	Cytosol	GO
CCDC88B	Cytosol	HPA
STX5	Golgi apparatus	HPA;GO
WASL	Plasma membrane	GO
XRCC6	Nucleoplasm	HPA;GO
HOMEZ	Nucleoli	HPA
SEC31A	Cytosol	HPA;GO
RHOD	Mitochondria	GO
SMARCA5	Nucleoplasm	HPA;GO
TJP2	Nucleoplasm	HPA;GO
SLC22A17	Plasma membrane	GO
PRPSAP2	Cytosol	HPA
TBCC	Primary cilium	GO
TMEM221	Nuclear membrane	HPA
MRFAP1	Nucleoplasm	HPA
TMED8	Plasma membrane	HPA
COPS9	Nucleoplasm	HPA;GO
ZNF613	Nucleoplasm	HPA
C11orf52	Plasma membrane	HPA
PURB	Nucleoplasm	HPA
ACAP3	Nucleoplasm	HPA
TAGLN2	Actin filaments	HPA
TTLL13	Cytosol	HPA;GO
COL4A5	Endoplasmic reticulum	GO
NR2E1	Nucleoplasm	HPA;GO
PCYT2	Cytosol	HPA
UNC80	Plasma membrane	GO
ALMS1	Centrosome	HPA;GO
FNDC11	Nucleoplasm	HPA
NOL10	Nucleoli	HPA
AP2S1	Cytosol	GO
CAMK1D	Nucleoplasm	HPA
SPRR2F	Cytosol	GO
C2orf50	Primary cilium	GO
FAM131A	Nucleoplasm	HPA
RAET1G	Plasma membrane	HPA;GO
CLUL1	Endoplasmic reticulum	HPA
UMOD	Microtubules	GO
SPDL1	Microtubules	GO
PSMF1	Endoplasmic reticulum	GO
PRR14	Nucleoplasm	HPA
DYNLT3	Nucleoplasm	GO
TNFRSF25	Nucleoplasm	HPA
TRPC7	Plasma membrane	GO
FAM20B	Golgi apparatus	HPA;GO
TRAK1	Mitochondria	GO
NACA2	Cytosol	HPA
HUNK	Nucleoplasm	HPA
GUCY2D	Primary cilium	GO
CRK	Actin filaments	HPA
KCNC4	Plasma membrane	GO
TYMP	Golgi apparatus	HPA
ATP6V1B2	Cytosol	GO
VSIG10	Cytosol	HPA
CRIP2	Plasma membrane	HPA
PRDX1	Mitochondria	HPA
TOMM6	Mitochondria	HPA;GO
NAP1L2	Plasma membrane	HPA
LRRC25	Cytosol	HPA
TRIM71	Cytosol	GO
DNAAF6	Cytosol	HPA
CDC42	Cytosol	GO
KRTAP10-6	Cytosol	GO
TTC39C	Nucleoplasm	HPA
PCF11	Mitochondria	HPA
INF2	Endoplasmic reticulum	HPA
ZSCAN26	Nucleoplasm	HPA
PXDN	Endoplasmic reticulum	GO
PROSER1	Nucleoplasm	HPA
ILVBL	Endoplasmic reticulum	GO
FURIN	Golgi apparatus	HPA;GO
RAE1	Microtubules	GO
ENSG00000255835	Nucleoplasm	HPA
UGT1A4	Endoplasmic reticulum	GO
SEMA3C	Golgi apparatus	HPA
PUS7L	Nucleoli	HPA
RCCD1	Plasma membrane	HPA
SKIC2	Microtubules	HPA
MIP	Plasma membrane	GO
ATXN7L3B	Nucleoplasm	HPA
IL16	Nucleoplasm	HPA
DYNC2I2	Primary cilium	HPA;GO
ITK	Cytosol	HPA;GO
MFSD9	Nucleoli	HPA
LRRK2	Cytosol	GO
NME5	Plasma membrane	HPA
ANKRD27	Plasma membrane	GO
MRM2	Nucleoli	GO
ISY1-RAB43	Nucleoplasm	HPA
APOD	Plasma membrane	HPA
TMEM175	Nucleoplasm	HPA
NINJ1	Plasma membrane	GO
POLR2L	Cytosol	GO
LYPLA1	Plasma membrane	GO
KRT4	Cytosol	GO
ATF6B	Golgi apparatus	GO
SLX1B	Nucleoplasm	HPA
PHF8	Nucleoplasm	HPA;GO
MAGEA10	Cytosol	HPA
C9orf43	Cytosol	HPA
C5orf46	Mitochondria	HPA
FAF1	Nucleoplasm	HPA
STXBP1	Nucleoplasm	HPA
GIT1	Cytosol	HPA;GO
SURF1	Mitochondria	GO
MPC1	Mitochondria	HPA;GO
TRMT6	Plasma membrane	HPA
BMX	Cytosol	GO
ABCG4	Plasma membrane	GO
HAUS7	Cytosol	GO
TBC1D17	Cytosol	GO
ZBED6	Nucleoplasm	HPA
OR2A1	Plasma membrane	GO
CCDC116	Centrosome	GO
DNAI7	Cytosol	HPA
APCDD1	Plasma membrane	GO
KIF26A	Plasma membrane	HPA
TRIM27	Nucleoplasm	HPA;GO
KRT2	Intermediate filaments	HPA
GABBR2	Plasma membrane	GO
NSG2	Golgi apparatus	HPA
CYP8B1	Endoplasmic reticulum	GO
MEST	Cytosol	HPA
RINT1	Endoplasmic reticulum	GO
ERAL1	Mitochondria	HPA;GO
LST1	Cytosol	HPA
KDM2B	Nucleoplasm	HPA;GO
NR1D1	Nucleoplasm	HPA;GO
SOS2	Nucleoplasm	HPA
KCNC1	Cytosol	HPA
PRRT4	Nucleoplasm	HPA
ENSG00000283782	Nucleoplasm	HPA
TRABD	Nucleoplasm	HPA
WBP11	Nucleoplasm	HPA;GO
TMEM67	Primary cilium	GO
UBE2NL	Nucleoplasm	HPA
C15orf61	Nucleoli	HPA
CGRRF1	Endoplasmic reticulum	GO
TCEAL9	Nucleoplasm	HPA
DLG2	Cytosol	GO
C4B	Plasma membrane	GO
C2orf74	Centrosome	HPA
PSMB7	Cytosol	HPA;GO
NEK2	Centrosome	HPA;GO
CEP290	Microtubules	GO
TRAM2	Cytosol	HPA
MCHR2	Plasma membrane	GO
EBNA1BP2	Nucleoplasm	HPA
GRAMD1A	Plasma membrane	HPA;GO
SERPINA1	Endoplasmic reticulum	GO
SRGAP1	Primary cilium	HPA
LGALS8	Cytosol	GO
FCGR3B	Plasma membrane	GO
RIPK2	Plasma membrane	GO
ILF3	Cytosol	GO
WDR76	Nucleoplasm	HPA;GO
CHD3	Centrosome	HPA;GO
LATS2	Microtubules	GO
SFTPA1	Endoplasmic reticulum	GO
TRMT1	Nucleoplasm	HPA;GO
MFSD1	Cytosol	HPA
POLGARF	Nucleoli	GO
CLIP2	Plasma membrane	HPA
GLRB	Plasma membrane	GO
ASPM	Plasma membrane	HPA
VRK2	Endoplasmic reticulum	HPA;GO
EPB41L1	Cytosol	GO
C1QTNF2	Centrosome	HPA
MORC4	Nucleoplasm	HPA
BRIP1	Nuclear membrane	HPA
BMAL2	Nucleoli	HPA
TM9SF1	Golgi apparatus	HPA
PTGIS	Golgi apparatus	HPA
SIPA1	Plasma membrane	HPA
ANKRD44	Nucleoplasm	HPA
PLEKHA7	Nucleoplasm	HPA
WDR31	Cytosol	HPA
SGMS1	Golgi apparatus	HPA;GO
GAL	Golgi apparatus	HPA
DLK2	Nucleoli	HPA
ARF6	Actin filaments	GO
CCDC88A	Nucleoplasm	HPA
C9orf152	Nucleoli	HPA
MIGA1	Mitochondria	HPA
HMMR	Centrosome	HPA
ATL1	Endoplasmic reticulum	GO
TMEM245	Plasma membrane	HPA
C6orf62	Cytosol	HPA
FNDC4	Nucleoplasm	HPA
CCDC74B	Cytosol	HPA
MAGEF1	Actin filaments	HPA
MMP11	Golgi apparatus	HPA;GO
CAMK2D	Primary cilium	HPA
CTAG2	Nucleoplasm	HPA
ARPC3	Actin filaments	GO
USP24	Cytosol	HPA
LPAR2	Plasma membrane	GO
SLC44A1	Plasma membrane	GO
RBL1	Nucleoplasm	HPA;GO
ATP2C2	Plasma membrane	HPA
MFHAS1	Cytosol	HPA
POLE	Plasma membrane	HPA
KCNK7	Plasma membrane	HPA;GO
RUFY1	Nucleoplasm	HPA
NFIA	Nucleoplasm	HPA
MZT1	Microtubules	GO
VIL1	Actin filaments	GO
NDUFB6	Nucleoplasm	HPA
CCDC71L	Golgi apparatus	HPA
VPS9D1	Nucleoplasm	HPA
SDC2	Endoplasmic reticulum	GO
C17orf58	Cytosol	HPA
AARS2	Mitochondria	HPA;GO
ZSCAN16	Nucleoplasm	HPA
RBMY1F	Nucleoplasm	HPA
GSK3A	Cytosol	HPA;GO
PRKCB	Cytosol	HPA;GO
TMEM40	Cytosol	HPA
MAP1LC3C	Cytosol	HPA;GO
TCP1	Cytosol	GO
LUZP1	Primary cilium	GO
NUP42	Nuclear membrane	HPA
HPF1	Nucleoplasm	GO
TNKS2	Nucleoplasm	GO
CST7	Golgi apparatus	GO
PFKM	Cytosol	GO
FOXA2	Nucleoplasm	HPA
VAX1	Nucleoplasm	HPA
PACSIN2	Plasma membrane	HPA;GO
CD4	Plasma membrane	HPA;GO
RNF212B	Nucleoli	HPA
IVL	Plasma membrane	GO
GRB2	Centrosome	HPA
PARP3	Nucleoplasm	HPA
NOVA2	Golgi apparatus	HPA
PADI4	Nucleoplasm	GO
SAAL1	Nucleoplasm	HPA
TJAP1	Golgi apparatus	HPA
VPS36	Plasma membrane	HPA
POLR2A	Cytosol	HPA
TRIM3	Golgi apparatus	GO
CRABP2	Cytosol	HPA;GO
CENPO	Cytosol	GO
GPR83	Primary cilium	HPA
GORAB	Golgi apparatus	HPA
KLRD1	Plasma membrane	GO
ATP6V0D1	Centrosome	GO
LY6G6C	Plasma membrane	GO
IHO1	Nucleoplasm	HPA
CACNA1G	Cytosol	HPA
CD38	Plasma membrane	HPA;GO
TASP1	Plasma membrane	HPA
ERCC6L2	Nucleoplasm	HPA
IRF8	Nucleoplasm	HPA
NUFIP2	Cytosol	HPA;GO
CBY1	Microtubules	GO
TMEM201	Nuclear membrane	HPA;GO
NRDC	Cytosol	GO
SEPTIN2	Primary cilium	HPA;GO
ASIC1	Golgi apparatus	HPA
BEGAIN	Cytosol	HPA
FCRL6	Plasma membrane	GO
ZNF667	Nucleoplasm	HPA
NUAK1	Nucleoplasm	HPA;GO
CST3	Endoplasmic reticulum	GO
PEG10	Cytosol	HPA
SHOC2	Nucleoplasm	HPA
SPCS3	Endoplasmic reticulum	GO
TAS2R43	Plasma membrane	GO
TRAF3IP2	Plasma membrane	GO
HNF4A	Nucleoplasm	HPA;GO
NOB1	Actin filaments	HPA
PNPLA3	Mitochondria	HPA
DRAP1	Cytosol	HPA
TGFB1	Plasma membrane	GO
F2RL1	Plasma membrane	HPA;GO
APP	Mitochondria	GO
MROH6	Nucleoplasm	HPA
DNAH2	Microtubules	HPA;GO
IFT57	Centrosome	HPA
SLC6A13	Plasma membrane	GO
MYOZ2	Nucleoplasm	HPA
PHTF1	Nucleoplasm	HPA
ATP2A1	Endoplasmic reticulum	HPA;GO
JMJD6	Nucleoli	GO
RPL29	Nucleoli	HPA
TRPC5	Plasma membrane	GO
CHD3	Nucleoli	HPA
CDK1	Microtubules	GO
CHMP4C	Microtubules	HPA;GO
GPATCH2L	Cytosol	HPA
CEP152	Centrosome	HPA;GO
RET	Plasma membrane	HPA;GO
MYO1B	Actin filaments	GO
N4BP2L1	Cytosol	HPA
USO1	Cytosol	GO
CPNE3	Cytosol	HPA;GO
LRRC14B	Nucleoplasm	HPA
WDR25	Nucleoplasm	HPA
MTO1	Nucleoplasm	HPA
ZRANB2	Nucleoplasm	HPA
MME	Plasma membrane	HPA;GO
SEC13	Endoplasmic reticulum	GO
LAMB2	Endoplasmic reticulum	GO
SCN3A	Plasma membrane	GO
VHL	Cytosol	HPA;GO
MCM4	Nucleoplasm	HPA;GO
WIPF1	Plasma membrane	HPA
SMG5	Cytosol	HPA;GO
CARS2	Mitochondria	HPA;GO
ZNF33B	Endoplasmic reticulum	HPA
ACTG1	Plasma membrane	GO
RXRA	Golgi apparatus	HPA
CDKN1B	Centrosome	HPA
DCBLD1	Cytosol	HPA
DGKQ	Nucleoplasm	GO
APH1A	Endoplasmic reticulum	GO
RIPK3	Cytosol	GO
LEO1	Nucleoli	HPA
SLC39A14	Golgi apparatus	HPA
SHB	Cytosol	HPA;GO
UNC5A	Plasma membrane	HPA;GO
BUB1	Nucleoplasm	HPA;GO
SLAIN2	Microtubules	GO
RRAGB	Cytosol	GO
OAT	Mitochondria	HPA;GO
MCM3	Nucleoplasm	HPA;GO
CNR1	Actin filaments	HPA
EYA2	Cytosol	HPA
VEPH1	Nucleoplasm	HPA
AXIN2	Cytosol	HPA;GO
TASOR2	Nucleoplasm	HPA
TBL1X	Microtubules	GO
SEMA7A	Plasma membrane	GO
HID1	Cytosol	HPA
CCDC43	Cytosol	HPA
SPCS1	Golgi apparatus	HPA
CNGA3	Plasma membrane	GO
EVPLL	Nucleoplasm	HPA
CDC6	Nucleoplasm	HPA;GO
RPS6KA6	Nucleoli	HPA
TAF4B	Nucleoplasm	HPA;GO
BAHD1	Nucleoplasm	HPA
PTGDR	Cytosol	HPA
ZNF585B	Cytosol	HPA
DDOST	Plasma membrane	GO
PRKCI	Plasma membrane	GO
KRT13	Intermediate filaments	HPA;GO
KLK6	Nucleoplasm	HPA
CAPNS1	Cytosol	HPA;GO
SMCHD1	Nucleoplasm	HPA;GO
TRIM11	Nucleoplasm	HPA
PABIR2	Nucleoplasm	HPA
CCL2	Golgi apparatus	HPA
PLEKHA1	Plasma membrane	GO
PRMT9	Nucleoplasm	HPA
STRN3	Cytosol	HPA
COL1A2	Endoplasmic reticulum	HPA;GO
ZNRF4	Endoplasmic reticulum	GO
RIMS4	Nucleoplasm	HPA
H2BC26	Cytosol	HPA
FBXO34	Cytosol	HPA
BROX	Golgi apparatus	HPA
DNAAF5	Cytosol	HPA
NAA16	Cytosol	HPA
CLASP1	Nucleoplasm	GO
APEX1	Centrosome	HPA
PELI2	Intermediate filaments	HPA
ECI2	Mitochondria	HPA
SUN2	Nuclear membrane	HPA
CEMIP	Plasma membrane	GO
RPAP2	Nucleoplasm	GO
PHB2	Plasma membrane	GO
ENSG00000285283	Endoplasmic reticulum	HPA
MOGAT1	Cytosol	HPA
RPS6KL1	Nucleoplasm	HPA
REXO1	Nucleoplasm	HPA
ENSG00000254692	Golgi apparatus	HPA
CDC45	Centrosome	HPA
SMAD7	Plasma membrane	GO
CASQ1	Mitochondria	HPA;GO
APEH	Cytosol	HPA;GO
KDM5B	Nucleoplasm	HPA;GO
SLC5A11	Nucleoplasm	HPA
CD1C	Plasma membrane	GO
EIF2AK4	Cytosol	HPA
NHLRC2	Nucleoplasm	HPA
TPR	Nuclear membrane	HPA;GO
CBFA2T3	Nucleoplasm	HPA
NIFK	Nucleoli	HPA;GO
SZT2	Actin filaments	HPA
AMPD3	Nucleoli	HPA
ARPC4	Cytosol	GO
ADCY4	Mitochondria	HPA
DNM1L	Mitochondria	GO
TMEM33	Endoplasmic reticulum	GO
B4GALT1	Golgi apparatus	HPA;GO
ZNF384	Nucleoplasm	HPA
RASGRF2	Cytosol	GO
MPZL2	Plasma membrane	HPA
DAOA	Mitochondria	GO
ZNF770	Nucleoplasm	HPA
PEX14	Cytosol	GO
PSMB11	Cytosol	GO
ATXN2	Golgi apparatus	GO
SLC1A7	Plasma membrane	GO
KRT35	Intermediate filaments	HPA
SPRED2	Cytosol	HPA;GO
SLC24A1	Plasma membrane	GO
RELL1	Plasma membrane	HPA
SPPL3	Endoplasmic reticulum	GO
UBE2I	Cytosol	GO
AKR1C2	Nucleoplasm	HPA
DOCK1	Plasma membrane	HPA;GO
MRPS15	Mitochondria	HPA;GO
ZNF766	Centrosome	HPA
USP5	Nucleoplasm	HPA
SLC44A3	Plasma membrane	GO
CD96	Plasma membrane	GO
IFI27	Mitochondria	GO
TXNDC12	Endoplasmic reticulum	GO
SRP14	Nucleoli	HPA
SLC22A6	Plasma membrane	GO
SPOUT1	Nucleoplasm	GO
IFT25	Primary cilium	GO
ATG14	Cytosol	GO
RAB33B	Golgi apparatus	GO
KIF3C	Primary cilium	GO
CT45A1	Nucleoplasm	HPA
ATP2B4	Primary cilium	HPA
NPIPB5	Nucleoplasm	HPA
GRB14	Nucleoplasm	HPA
EIF4E	Cytosol	HPA;GO
MTR	Microtubules	HPA
CKS1B	Mitochondria	HPA
CCDC77	Centrosome	GO
ZNF350	Nucleoplasm	HPA;GO
PPFIBP1	Actin filaments	GO
RPL32	Cytosol	HPA;GO
SPATA5L1	Nucleoplasm	HPA
TREML2	Plasma membrane	GO
GRPEL2	Mitochondria	HPA
ELAVL2	Nucleoplasm	HPA
PSME3	Nucleoplasm	HPA;GO
PDE10A	Cytosol	GO
