protein	location	source(s)
KHDRBS2	Nucleoplasm	GO
TLR3	Endoplasmic reticulum	GO
SCAMP5	Golgi apparatus	GO
TMPRSS5	Plasma membrane	GO
FGF2	Nucleoplasm	HPA
ANKRD28	Nucleoplasm	GO
BTBD8	Nucleoplasm	HPA
RPS17	Nucleoplasm	GO
GPR150	Plasma membrane	GO
PHPT1	Cytosol	HPA;GO
KRT7	Cytosol	HPA;GO
ASF1B	Nucleoplasm	HPA;GO
DCLK1	Nucleoplasm	HPA
TPX2	Microtubules	HPA;GO
ADGRG6	Plasma membrane	GO
CBL	Cytosol	HPA;GO
DNAL4	Plasma membrane	GO
PKD2	Plasma membrane	HPA;GO
ZFP69	Nucleoplasm	HPA
VEZT	Cytosol	HPA
ZNF597	Nucleoplasm	HPA
PTPRS	Plasma membrane	HPA;GO
TBC1D22A	Nucleoplasm	HPA
NRIP1	Nucleoplasm	HPA;GO
RB1	Cytosol	GO
GPSM1	Plasma membrane	GO
PRDM1	Nucleoli	HPA
PELI2	Nucleoplasm	HPA
ING3	Nucleoplasm	HPA;GO
PDIK1L	Nucleoplasm	HPA
PRPF40B	Nucleoplasm	HPA
MOXD1	Endoplasmic reticulum	GO
ZNF543	Nucleoplasm	HPA
DCTN2	Primary cilium	HPA
COPZ2	Golgi apparatus	GO
RIPK4	Cytosol	HPA
NGFR	Nucleoplasm	GO
MRPL46	Mitochondria	HPA;GO
FGF12	Cytosol	HPA
SLC4A2	Plasma membrane	HPA;GO
ARL6	Primary cilium	HPA;GO
PRSS1	Endoplasmic reticulum	HPA
TECRL	Endoplasmic reticulum	GO
SYNRG	Cytosol	HPA
RRP8	Nucleoplasm	HPA;GO
AVIL	Plasma membrane	GO
TUBB3	Primary cilium	HPA
GAB1	Nucleoli	HPA
RNASEH2A	Cytosol	HPA
ZNF664	Nucleoplasm	HPA
TRIB2	Nucleoplasm	HPA
EFHD1	Mitochondria	GO
MPHOSPH6	Nucleoplasm	HPA;GO
HBG1	Cytosol	GO
SLPI	Golgi apparatus	HPA
RLIM	Cytosol	GO
FANCL	Cytosol	GO
MCF2	Plasma membrane	HPA
TIMM17B	Mitochondria	HPA;GO
FBRSL1	Nucleoplasm	HPA
PRKACB	Nucleoplasm	GO
TNFRSF14	Cytosol	HPA
ZMAT4	Nucleoli	HPA
TFE3	Cytosol	GO
FBXO8	Cytosol	HPA
GRAMD1B	Plasma membrane	HPA;GO
EMC4	Endoplasmic reticulum	GO
DENND1C	Nucleoplasm	HPA
CEP112	Microtubules	HPA
TRIP6	Actin filaments	HPA;GO
C11orf54	Nucleoplasm	HPA
ZNF460	Nucleoplasm	HPA
GCK	Nucleoplasm	GO
MCFD2	Endoplasmic reticulum	GO
MPG	Nucleoplasm	HPA;GO
HAND1	Nucleoplasm	HPA
ICAM2	Plasma membrane	HPA;GO
ENOPH1	Nucleoli	HPA
SSH3	Plasma membrane	HPA
HSF2BP	Cytosol	GO
SUMO1	Nucleoplasm	HPA;GO
PPP2R3C	Centrosome	GO
CLMN	Cytosol	HPA
MARK1	Plasma membrane	GO
CALML4	Cytosol	HPA
CAV1	Actin filaments	GO
